cDNA	gene
1	268
2	269
3	270
4	271
5	272
6	273
7	274
8	275
9	276
10	277
11	278
12	279
13	280
14	281
15	282
16	283
17	284
18	285
19	286
20	287
21	288
22	289
23	290
24	291
25	292
26	293
27	294
28	295
29	296
30	297
31	298
32	299
33	300
34	301
35	1359
36	1360
37	1361
38	1362
39	1363
40	1364
41	1365
42	1366
43	1367
44	1368
45	1369
46	1370
47	1371
48	1372
49	1373
50	1374
51	1375
52	1376
53	1377
54	1378
55	1379
56	1380
57	1381
58	1382
59	1383
60	1384
61	1385
62	1386
63	1387
64	1388
65	1389
66	1390
67	1391
68	1392
69	1393
70	1394
71	2119
72	2120
73	2121
74	2122
75	2123
76	2124
77	2125
78	2126
79	2127
80	2128
81	2129
82	2130
83	2131
84	2132
85	2133
86	2134
87	2135
88	2136
89	2137
90	2138
91	2139
92	2140
93	2141
94	2142
95	2143
96	2144
97	2145
98	2146
99	2147
100	2148
101	2149
102	2150
103	2151
104	2152
105	2153
106	2154
107	2155
108	2156
109	2157
110	2158
111	2159
112	2160
113	2161
114	2162
115	2163
116	2164
117	2165
118	2166
119	2167
120	2168
121	2169
122	2170
123	2171
124	2172
125	2173
126	2174
127	2175
128	2176
129	2177
130	2178
131	2179
132	2180
133	2181
134	2182
135	2183
136	2184
137	2185
138	2186
139	2187
140	2188
141	2189
142	2190
143	2191
144	2192
145	2193
146	2194
147	2195
148	2196
149	2197
150	2198
151	2199
152	2200
153	2201
154	2202
155	2203
156	2204
157	2205
158	2206
159	2207
160	2208
161	2209
162	2210
163	2211
164	2212
165	2213
166	2214
167	2215
168	2216
169	2217
170	2218
171	2219
172	2220
173	2221
174	2222
175	2223
176	2224
177	2225
178	2226
179	2227
180	2228
181	2229
182	2230
183	2231
184	2232
185	2233
186	2234
187	2235
188	2236
189	2237
190	2238
191	2239
192	2240
193	2241
194	2242
195	2243
196	2244
197	2245
198	2246
199	2247
200	2248
201	2249
202	2250
203	2251
204	2252
205	2253
206	2254
207	2255
208	2256
209	2257
210	2258
211	2259
212	2260
213	2261
214	2262
215	2263
216	2264
217	2265
218	2266
219	2267
220	2268
221	2269
222	2270
223	2271
224	2272
225	2273
226	2274
227	2275
228	2276
229	2277
230	2278
231	2279
232	2280
233	2281
234	2282
235	2283
236	2284
237	2285
238	2286
239	2287
240	2288
241	2289
242	2290
243	2291
244	2292
245	2293
246	2294
247	2295
248	2296
249	2297
250	2298
251	2299
252	2300
253	2301
254	2302
255	2303
256	2304
257	2305
258	2306
259	2307
260	2308
261	2309
262	2310
263	2311
264	2312
265	2313
266	2314
267	2315
268	2316
269	2317
270	2318
271	2319
272	2320
273	2321
274	2322
275	2323
276	2324
277	2325
278	2326
279	2327
280	2328
281	2329
282	2330
283	2331
284	2332
285	2333
286	2334
287	2335
288	2336
289	2337
290	2338
291	2339
292	2340
293	2341
294	2342
295	2343
296	2344
297	2345
298	2346
299	2347
300	2348
301	2349
302	2350
303	2351
304	2352
305	2353
306	2354
307	2355
308	2356
309	2357
310	2358
311	2359
312	2360
313	2361
314	2362
315	2363
316	2364
317	2365
318	2366
319	2367
320	2368
321	2369
322	2370
323	2371
324	2372
325	2373
326	2374
327	2375
328	2376
329	2377
330	2378
331	2379
332	2380
333	2381
334	2382
335	2383
336	2384
337	2385
338	2386
339	2387
340	2388
341	2389
342	2390
343	2391
344	2392
345	2393
346	2394
347	2395
348	2396
349	2397
350	2398
351	2399
352	2400
353	3853
354	3854
355	3855
356	3856
357	3857
358	3858
359	3859
360	3860
361	3861
362	3862
363	3863
364	3864
365	3865
366	3866
367	3867
368	3868
369	3869
370	3870
371	3871
372	3872
373	3873
374	3874
375	3875
376	3876
377	3877
378	3878
379	3879
380	3880
381	3881
382	3882
383	3883
384	3884
385	3885
386	3886
387	3887
388	3888
389	3889
390	3890
391	3891
392	3892
393	3893
394	3894
395	3895
396	3896
397	3897
398	3898
399	3899
400	3900
401	3901
402	3902
403	3903
404	3904
405	3905
406	3906
407	3907
408	3908
409	3909
410	3910
411	3911
412	3912
413	3913
414	3914
415	3915
416	3916
417	3917
418	3918
419	3919
420	3920
421	3921
422	3922
423	3923
424	3924
425	3925
426	3926
427	3927
428	3928
429	3929
430	3930
431	3931
432	3932
433	3933
434	3934
435	3935
436	3936
437	3937
438	3938
439	3939
440	3940
441	3941
442	3942
443	3943
444	3944
445	3945
446	3946
447	3947
448	3948
449	3949
450	3950
451	3951
452	3952
453	3953
454	3954
455	3955
456	3956
457	3957
458	3958
459	3959
460	3960
461	3961
462	3962
463	3963
464	3964
465	3965
466	3966
467	3967
468	3968
469	3969
470	3970
471	3971
472	3972
473	3973
474	3974
475	3975
476	3976
477	3977
478	3978
479	3979
480	3980
481	3981
482	3982
483	3983
484	3984
485	3985
486	3986
487	3987
488	3988
489	3989
490	3990
491	3991
492	3992
493	3993
494	3994
495	3995
496	3996
497	3997
498	3998
499	3999
500	4000
501	4001
502	4002
503	4003
504	4004
505	4005
506	4006
507	4007
508	4008
509	4009
510	4010
511	4011
512	4012
513	4013
514	4014
515	4015
516	4016
517	4017
518	4018
519	4019
520	4020
521	4021
522	4022
523	4023
524	4024
525	4025
526	4026
527	4027
528	4028
529	4029
530	4030
531	4031
532	4032
533	4033
534	4034
535	4035
536	4036
537	4037
538	4038
539	4039
540	4040
541	4041
542	4042
543	4043
544	4044
545	4045
546	4046
547	4047
548	4048
549	4049
550	4050
551	4051
552	4052
553	4053
554	4054
555	4055
556	4056
557	4057
558	4058
559	4059
560	4060
561	4061
562	4062
563	4063
564	4064
565	4065
566	4066
567	4067
568	4068
569	4069
570	4070
571	4071
572	4072
573	4073
574	4074
575	4075
576	4076
577	4077
578	4078
579	4079
580	4080
581	4081
582	4082
583	4083
584	4084
585	4085
586	4086
587	4087
588	4088
589	4089
590	4090
591	4091
592	4092
593	4093
594	4094
595	4095
596	4096
597	4097
598	4098
599	4099
600	4100
601	4101
602	4102
603	4103
604	4104
605	4105
606	4106
607	4107
608	4108
609	4109
610	4110
611	4111
612	4112
613	4113
614	4114
615	4115
616	4116
617	4117
618	4118
619	4119
620	4120
621	4121
622	4122
623	4123
624	4124
625	4125
626	4126
627	4127
628	4128
629	4129
630	4130
631	4131
632	4132
633	4133
634	4134
635	4135
636	4136
637	4137
638	4138
639	4139
640	4140
641	4141
642	4142
643	4143
644	4144
645	4145
646	4146
647	4147
648	4148
649	4149
650	4150
651	4151
652	5677
653	5678
654	5679
655	5680
656	5681
657	5682
658	5683
659	5684
660	5685
661	5686
662	5687
663	5688
664	5689
665	5690
666	5691
667	5692
668	5693
669	5694
670	5695
671	5696
672	5697
673	5698
674	5699
675	5700
676	5701
677	5702
678	5703
679	5704
680	5705
681	5706
682	5707
683	5708
684	5709
685	5710
686	5711
687	5712
688	5713
689	5714
690	5715
691	5716
692	5717
693	5718
694	5719
695	5720
696	5721
697	5722
698	5723
699	5724
700	5725
701	5726
702	5727
703	5728
704	5729
705	5730
706	5731
707	5732
708	5733
709	5734
710	5735
711	5736
712	5737
713	5738
714	5739
715	5740
716	5741
717	5742
718	5743
719	5744
720	5745
721	5746
722	5747
