cDNA	gene
1	17672
2	17673
3	17674
4	17675
5	17676
6	17677
7	17678
8	17679
9	17680
10	17681
11	17682
12	17683
13	17684
14	17685
15	17686
16	17687
17	17688
18	17689
19	17690
20	17691
21	17692
22	17693
23	17694
24	17695
25	17696
26	17697
27	17698
28	17699
29	17700
30	17701
31	17702
32	17703
33	17704
34	17705
35	18705
36	18706
37	18707
38	18708
39	18709
40	18710
41	18711
42	18712
43	18713
44	18714
45	18715
46	18716
47	18717
48	18718
49	18719
50	18720
51	18721
52	18722
53	18723
54	18724
55	18725
56	18726
57	18727
58	18728
59	18729
60	18730
61	18731
62	18732
63	18733
64	18734
65	18735
66	18736
67	18737
68	18738
69	18739
70	18740
71	19485
72	19486
73	19487
74	19488
75	19489
76	19490
77	19491
78	19492
79	19493
80	19494
81	19495
82	19496
83	19497
84	19498
85	19499
86	19500
87	19501
88	19502
89	19503
90	19504
91	19505
92	19506
93	19507
94	19508
95	19509
96	19510
97	19511
98	19512
99	19513
100	19514
101	19515
102	19516
103	19517
104	19518
105	19519
106	19520
107	19521
108	19522
109	19523
110	19524
111	19525
112	19526
113	19527
114	19528
115	19529
116	19530
117	19531
118	19532
119	19533
120	19534
121	19535
122	19536
123	19537
124	19538
125	19539
126	19540
127	19541
128	19542
129	19543
130	19544
131	19545
132	19546
133	19547
134	19548
135	19549
136	19550
137	19551
138	19552
139	19553
140	19554
141	19555
142	19556
143	19557
144	19558
145	19559
146	19560
147	19561
148	19562
149	19563
150	19564
151	19565
152	19566
153	19567
154	19568
155	19569
156	19570
157	19571
158	19572
159	19573
160	19574
161	19575
162	19576
163	19577
164	19578
165	19579
166	19580
167	19581
168	19582
169	19583
170	19584
171	19585
172	19586
173	19587
174	19588
175	19589
176	19590
177	19591
178	19592
179	19593
180	19594
181	19595
182	19596
183	19597
184	19598
185	19599
186	19600
187	19601
188	19602
189	19603
190	19604
191	19605
192	19606
193	19607
194	19608
195	19609
196	19610
197	19611
198	19612
199	19613
200	19614
201	19615
202	19616
203	19617
204	19618
205	19619
206	19620
207	19621
208	19622
209	19623
210	19624
211	19625
212	19626
213	19627
214	19628
215	19629
216	19630
217	19631
218	19632
219	19633
220	19634
221	19635
222	19636
223	19637
224	19638
225	19639
226	19640
227	19641
228	19642
229	19643
230	19644
231	19645
232	19646
233	19647
234	19648
235	19649
236	19650
237	19651
238	19652
239	19653
240	19654
241	19655
242	19656
243	19657
244	19658
245	19659
246	19660
247	19661
248	19662
249	19663
250	19664
251	19665
252	19666
253	19667
254	19668
255	19669
256	19670
