cDNA	gene
1	1140
2	1141
3	1142
4	1143
5	1144
6	1145
7	1146
8	1147
9	1148
10	1149
11	1150
12	1151
13	1152
14	1153
15	1154
16	1155
17	1156
18	1157
19	1158
20	1159
21	1160
22	1161
23	1162
24	1163
25	1164
26	1165
27	1166
28	1167
29	1168
30	1169
31	1170
32	1171
33	1172
34	1173
35	2082
36	2083
37	2084
38	2085
39	2086
40	2087
41	2088
42	2089
43	2090
44	2091
45	2092
46	2093
47	2094
48	2095
49	2096
50	2097
51	2098
52	2099
53	2100
54	2101
55	2102
56	2103
57	2104
58	2105
59	2106
60	2107
61	2108
62	2109
63	2110
64	2111
65	2112
66	2113
67	2114
68	2115
69	2116
70	2117
71	4554
72	4555
73	4556
74	4557
75	4558
76	4559
77	4560
78	4561
79	4562
80	4563
81	4564
82	4565
83	4566
84	4567
85	4568
86	4569
87	4570
88	4571
89	4572
90	4573
91	4574
92	4575
93	4576
94	4577
95	4578
96	4579
97	4580
98	4581
99	4582
100	4583
101	4584
102	4585
103	4586
104	4587
105	4588
106	4589
107	4590
108	4591
109	4592
110	4593
111	4594
112	4595
113	4596
114	4597
115	4598
116	4599
117	4600
118	4601
119	4602
120	4603
121	4604
122	4605
123	4606
124	4607
125	4608
126	4609
127	4610
128	4611
129	4612
130	4613
131	4614
132	4615
133	4616
134	4617
135	4618
136	4619
137	4620
138	4621
139	4622
140	4623
141	4624
142	4625
143	4626
144	4627
145	4628
146	4629
147	4630
148	4631
149	4632
150	4633
151	4634
152	4635
153	4636
154	4637
155	4638
156	4639
157	4640
158	4641
159	4642
160	4643
161	4644
162	4645
163	4646
164	4647
165	4648
166	4649
167	4650
168	4651
169	4652
170	4653
171	4654
172	4655
173	4656
174	4657
175	4658
176	4659
177	4660
178	4661
179	4662
180	4663
181	4664
182	4665
183	4666
184	4667
185	4668
186	4669
187	4670
188	4671
189	4672
190	4673
191	4674
192	4675
193	4676
194	4677
195	4678
196	4679
197	4680
198	4681
199	4682
200	4683
201	4684
202	4685
203	4686
204	4687
205	4688
206	4689
207	4690
208	4691
209	4692
210	4693
211	4694
212	4695
213	4696
214	4697
215	4698
216	4699
217	4700
218	4701
219	4702
220	4703
221	4704
222	4705
223	4706
224	4707
225	4708
226	4709
227	4710
228	4711
229	4712
230	4713
231	4714
232	4715
233	4716
234	4717
235	4718
236	4719
237	4720
238	4721
239	4722
240	4723
241	4724
242	4725
243	4726
244	4727
245	4728
246	4729
247	4730
248	4731
249	4732
250	4733
251	4734
252	4735
253	4736
254	4737
255	4738
256	4739
257	4740
258	4741
259	4742
260	4743
261	4744
262	4745
263	4746
264	4747
265	4748
266	4749
267	4750
268	4751
269	4752
270	4753
271	4754
272	4755
273	4756
274	4757
275	4758
276	4759
277	4760
278	4761
279	4762
280	4763
281	4764
282	4765
283	4766
284	4767
285	4768
286	4769
287	4770
288	4771
289	4772
290	4773
291	4774
292	4775
293	4776
294	4777
295	4778
296	4779
297	4780
298	4781
299	4782
300	4783
301	4784
302	4785
303	4786
304	4787
305	4788
306	4789
307	4790
308	4791
309	4792
310	4793
311	4794
312	4795
313	4796
314	4797
315	4798
316	4799
317	4800
318	4801
319	4802
320	4803
321	4804
322	4805
323	4806
324	4807
325	4808
326	4809
327	4810
328	4811
329	4812
330	4813
331	4814
332	4815
333	4816
334	4817
335	4818
336	4819
337	4820
338	4821
339	4822
340	4823
341	4824
342	4825
343	4826
344	4827
345	4828
346	4829
347	4830
348	4831
349	4832
350	4833
351	4834
352	4835
353	4836
354	4837
355	4838
356	4839
357	4840
358	4841
359	4842
360	4843
361	4844
362	4845
363	4846
364	4847
365	4848
366	4849
367	4850
368	4851
369	4852
370	4853
371	6368
372	6369
373	6370
374	6371
375	6372
376	6373
377	6374
378	6375
379	6376
380	6377
381	6378
382	6379
383	6380
384	6381
385	6382
386	6383
387	6384
388	6385
389	6386
390	6387
391	6388
392	6389
393	6390
394	6391
395	6392
396	6393
397	6394
398	6395
399	6396
400	6397
401	6398
402	6399
403	6400
404	6401
405	6402
406	6403
